"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","0.60","0.60","0.63","0.60","5.91K","-7.69%"
"03/25/2026","0.65","0.65","0.65","0.65","3.06K","0.00%"
"03/24/2026","0.65","0.60","0.65","0.60","5.37K","0.00%"
"03/23/2026","0.65","0.55","0.65","0.55","1.62K","-4.41%"
"03/19/2026","0.68","0.56","0.70","0.56","4.92K","-5.56%"
"03/18/2026","0.72","0.55","0.72","0.55","8.12K","0.00%"
"03/17/2026","0.72","0.55","0.72","0.55","3.22K","0.00%"
"03/16/2026","0.72","0.72","0.72","0.55","2.41K","-4.00%"
"03/13/2026","0.75","0.90","0.90","0.75","9.95K","0.00%"
"03/12/2026","0.75","0.60","0.75","0.60","73.91K","15.37%"
"03/11/2026","0.65","0.75","0.75","0.60","253.68K","25.00%"
"03/10/2026","0.52","0.52","0.52","0.52","0.73K","-23.53%"
"03/09/2026","0.68","0.52","0.68","0.52","0.44K","4.62%"
"03/06/2026","0.65","0.68","0.75","0.65","11.57K","-4.41%"
"03/05/2026","0.68","0.68","0.68","0.68","1.03K","0.00%"
"03/04/2026","0.68","0.53","0.68","0.53","32.15K","0.00%"
"03/03/2026","0.68","0.50","0.75","0.50","5.56K","-2.86%"
"03/02/2026","0.70","0.65","0.75","0.65","18.11K","-6.67%"
"02/27/2026","0.75","0.65","0.75","0.53","26.64K","0.00%"
"02/26/2026","0.75","0.65","0.75","0.65","16.01K","0.00%"
"02/25/2026","0.75","0.65","0.75","0.65","3.52K","0.00%"
"02/24/2026","0.75","0.65","0.75","0.53","3.03K","0.00%"
"02/23/2026","0.75","0.75","0.75","0.75","0.50K","0.00%"
"02/20/2026","0.75","0.65","0.75","0.65","76.32K","0.00%"
"02/19/2026","0.75","0.80","0.80","0.70","7.71K","0.00%"
"02/18/2026","0.75","0.75","0.75","0.75","15.46K","-6.25%"
"02/17/2026","0.80","0.65","0.80","0.65","109.56K","0.00%"
"02/13/2026","0.80","0.80","0.80","0.65","3.26K","0.00%"
"02/12/2026","0.80","0.65","0.90","0.65","32.45K","-11.11%"
"02/11/2026","0.90","0.65","0.90","0.65","24.83K","-4.26%"
"02/09/2026","0.94","0.80","0.94","0.78","156.98K","-1.04%"
"02/06/2026","0.95","0.80","0.95","0.80","23.46K","0.00%"
"02/05/2026","0.95","0.80","0.95","0.80","0.76K","0.00%"
"02/04/2026","0.95","0.80","0.96","0.80","11.05K","0.00%"
"02/02/2026","0.95","0.81","1.00","0.81","2.37K","0.00%"
"01/30/2026","0.95","0.80","1.17","0.80","411.12K","5.56%"
"01/29/2026","0.90","1.00","1.00","0.80","42.80K","-5.26%"
"01/28/2026","0.95","1.00","1.00","0.80","6.49K","-5.00%"
"01/27/2026","1.00","1.00","1.00","0.80","17.36K","0.00%"
"01/26/2026","1.00","1.00","1.00","1.00","6.23K","0.00%"
"01/23/2026","1.00","0.80","1.12","0.80","172.42K","0.00%"
"01/22/2026","1.00","0.81","1.00","0.80","36.12K","5.26%"
"01/21/2026","0.95","0.80","1.00","0.80","6.03K","-5.94%"
"01/20/2026","1.01","1.00","1.02","0.80","11.00K","-0.98%"
"01/16/2026","1.02","1.00","1.05","0.80","13.74K","-2.86%"
"01/15/2026","1.05","1.00","1.05","1.00","4.14K","0.00%"
"01/14/2026","1.05","1.00","1.05","1.00","6.34K","0.00%"
"01/13/2026","1.05","0.80","1.10","0.80","10.50K","-3.67%"
"01/12/2026","1.09","0.80","1.10","0.80","23.55K","-0.91%"
"01/09/2026","1.10","1.10","1.10","0.80","11.69K","0.00%"
"01/08/2026","1.10","1.00","1.10","1.00","1.54K","0.00%"
"01/07/2026","1.10","1.10","1.20","0.80","504.14K","-8.33%"
"01/06/2026","1.20","0.85","1.20","0.81","3.26K","0.00%"
"01/05/2026","1.20","1.20","1.20","0.80","15.41K","0.00%"
"01/02/2026","1.20","1.20","1.20","1.02","4.14K","19.40%"
"12/31/2025","1.00","0.85","1.35","0.80","64.38K","-12.61%"
"12/30/2025","1.15","1.20","1.30","0.80","225.76K","-4.17%"
"12/29/2025","1.20","0.60","1.20","0.60","14.67K","0.00%"
"12/26/2025","1.20","1.00","1.35","1.00","28.93K","-11.11%"
"12/24/2025","1.35","1.06","1.35","0.63","11.77K","0.00%"
"12/23/2025","1.35","0.50","1.40","0.50","56.87K","3.85%"
"12/22/2025","1.30","0.52","1.50","0.52","111.00K","-7.14%"
"12/19/2025","1.40","0.50","1.50","0.50","106.30K","-5.41%"
"12/18/2025","1.48","1.27","1.50","0.50","709.40K","2.07%"
"12/17/2025","1.45","1.15","1.48","1.15","143.60K","16.00%"
"12/16/2025","1.25","0.75","1.25","0.75","262.02K","13.64%"
"12/15/2025","1.10","0.18","1.20","0.18","5.52K","0.00%"
"12/12/2025","1.10","1.01","1.10","0.01","131.15K","1.85%"
"12/11/2025","1.08","1.12","1.12","1.01","158.31K","-3.57%"
"12/10/2025","1.12","1.01","1.40","1.00","105.08K","-14.50%"
"12/09/2025","1.31","0.78","1.31","0.78","689.87K","55.95%"
"12/08/2025","0.84","0.77","0.87","0.61","564.97K","7.69%"
"12/05/2025","0.78","0.75","0.81","0.61","524.92K","2.63%"
"12/04/2025","0.76","0.66","0.77","0.66","1.19M","13.43%"
"12/03/2025","0.67","0.62","0.68","0.60","720.56K","8.06%"
"12/02/2025","0.62","0.40","0.70","0.40","304.51K","-2.36%"
"12/01/2025","0.63","0.36","0.63","0.36","2.81K","0.00%"
"11/28/2025","0.63","0.40","0.63","0.40","2.13K","0.00%"
"11/25/2025","0.64","0.35","0.64","0.35","7.78K","1.51%"
"11/24/2025","0.63","0.35","0.63","0.35","1.92K","-1.56%"
"11/21/2025","0.64","0.40","0.64","0.40","0.64K","0.00%"
"11/20/2025","0.64","0.60","0.64","0.35","44.71K","16.36%"
"11/19/2025","0.55","0.60","0.60","0.35","6.35K","-8.33%"
"11/18/2025","0.60","0.40","0.60","0.35","5.76K","-7.69%"
"11/17/2025","0.65","0.40","0.65","0.40","2.48K","0.00%"
"11/13/2025","0.65","0.65","0.68","0.65","700.01K","8.33%"
"11/12/2025","0.60","0.40","0.60","0.40","1.16K","0.00%"
"11/11/2025","0.60","0.70","0.74","0.60","803.77K","0.00%"
"11/10/2025","0.60","0.65","0.75","0.53","428.83K","-7.69%"
"11/07/2025","0.65","0.20","0.65","0.20","11.08K","1.56%"
"11/06/2025","0.64","0.64","0.65","0.64","18.45K","-1.54%"
"11/05/2025","0.65","0.56","0.75","0.55","168.46K","0.00%"
"11/04/2025","0.65","0.55","0.65","0.55","2.84K","0.00%"
"11/03/2025","0.65","0.55","0.65","0.55","7.49K","8.33%"
"10/31/2025","0.60","0.65","0.65","0.55","24.53K","-7.69%"
"10/30/2025","0.65","0.55","0.65","0.55","28.34K","0.00%"
"10/29/2025","0.65","0.55","0.65","0.55","5.55K","0.00%"
"10/28/2025","0.65","0.60","0.65","0.60","21.07K","0.00%"
"10/27/2025","0.65","0.55","0.65","0.55","2.20K","0.00%"
"10/23/2025","0.65","0.56","0.65","0.55","2.76K","-1.52%"
"10/21/2025","0.66","0.55","0.66","0.55","2.15K","1.54%"
"10/20/2025","0.65","0.55","0.65","0.55","0.80K","0.00%"
"10/17/2025","0.65","0.55","0.65","0.55","7.23K","0.00%"
"10/16/2025","0.65","0.55","0.65","0.55","11.24K","0.00%"
"10/15/2025","0.65","0.65","0.65","0.55","2.62K","0.00%"
"10/14/2025","0.65","0.66","0.66","0.55","37.90K","0.00%"
"10/13/2025","0.65","0.55","0.65","0.55","34.65K","0.00%"
"10/10/2025","0.65","0.55","0.68","0.55","6.12K","-1.52%"
"10/09/2025","0.66","0.61","0.67","0.61","1.78K","-2.94%"
"10/08/2025","0.68","0.60","0.68","0.55","2.55K","0.00%"
"10/07/2025","0.68","0.55","0.68","0.55","12.12K","4.62%"
"10/06/2025","0.65","0.55","0.65","0.55","2.68K","-4.41%"
"10/03/2025","0.68","0.55","0.68","0.55","0.65K","0.00%"
"10/02/2025","0.68","0.68","0.68","0.68","2.51K","0.00%"
"10/01/2025","0.68","0.68","0.68","0.50","105.23K","4.62%"
"09/30/2025","0.65","0.60","0.65","0.60","4.67K","-4.41%"
"09/29/2025","0.68","0.58","0.68","0.58","34.64K","-2.86%"
"09/26/2025","0.70","0.65","0.70","0.65","22.12K","16.67%"
"09/25/2025","0.60","0.70","0.70","0.60","2.30K","-7.69%"
"09/24/2025","0.65","0.69","0.69","0.60","32.22K","-5.80%"
"09/23/2025","0.69","0.60","0.70","0.60","36.49K","6.38%"
"09/22/2025","0.65","0.63","0.75","0.60","5.27K","-12.35%"
"09/19/2025","0.74","0.60","0.75","0.60","21.41K","5.71%"
"09/18/2025","0.70","0.75","0.75","0.68","55.17K","-6.67%"
"09/17/2025","0.75","0.62","0.95","0.60","482.17K","-2.60%"
"09/16/2025","0.77","0.75","0.84","0.57","592.79K","-3.75%"
"09/15/2025","0.80","0.55","0.90","0.55","308.00K","0.00%"
"09/12/2025","0.80","0.47","0.90","0.47","931.57K","6.67%"
"09/11/2025","0.75","0.70","0.75","0.70","88.13K","7.14%"
"09/10/2025","0.70","0.62","0.71","0.62","8.95K","16.67%"
"09/09/2025","0.60","0.47","0.60","0.47","271.60K","9.09%"
"09/08/2025","0.55","0.47","0.55","0.47","30.80K","0.00%"
"09/05/2025","0.55","0.55","0.55","0.47","9.65K","0.00%"
"09/04/2025","0.55","0.47","0.55","0.47","37.40K","17.02%"
"09/03/2025","0.47","0.47","0.55","0.47","11.03K","-14.55%"
"08/29/2025","0.55","0.50","0.55","0.01","8.32K","0.00%"
"08/28/2025","0.55","0.55","0.55","0.47","16.91K","14.58%"
"08/27/2025","0.48","0.47","0.54","0.47","0.65K","-5.88%"
"08/26/2025","0.51","0.52","0.52","0.47","6.78K","-1.92%"
"08/25/2025","0.52","0.47","0.52","0.47","9.70K","0.00%"
"08/22/2025","0.52","0.52","0.52","0.01","4.11K","0.00%"
"08/21/2025","0.52","0.47","0.52","0.47","25.10K","-1.89%"
"08/20/2025","0.53","0.50","0.55","0.50","74.76K","-3.64%"
"08/19/2025","0.55","0.50","0.55","0.50","6.30K","0.00%"
"08/18/2025","0.55","0.50","0.55","0.50","11.45K","0.00%"
"08/15/2025","0.55","0.51","0.55","0.51","22.06K","0.00%"
"08/14/2025","0.55","0.55","0.55","0.50","8.70K","10.00%"
"08/13/2025","0.50","0.50","0.55","0.50","6.95K","-9.09%"
"08/12/2025","0.55","0.55","0.55","0.55","4.00K","0.00%"
"08/11/2025","0.55","0.50","0.55","0.50","40.42K","0.00%"
"08/08/2025","0.55","0.50","0.58","0.50","23.81K","0.00%"
"08/07/2025","0.55","0.50","0.58","0.50","11.24K","-5.17%"
"08/06/2025","0.58","0.50","0.58","0.50","50.35K","0.00%"
"08/05/2025","0.58","0.50","0.58","0.50","3.16K","0.00%"
"08/01/2025","0.58","0.50","0.58","0.50","8.18K","0.00%"
"07/31/2025","0.58","0.50","0.58","0.50","13.87K","0.00%"
"07/30/2025","0.58","0.50","0.61","0.50","61.19K","5.45%"
"07/29/2025","0.55","0.55","0.55","0.50","2.66K","-5.17%"
"07/28/2025","0.58","0.47","0.58","0.47","1.58K","0.00%"
"07/25/2025","0.58","0.52","0.58","0.47","182.03K","-1.69%"
"07/24/2025","0.59","0.60","0.60","0.52","3.19K","1.72%"
"07/23/2025","0.58","0.52","0.60","0.52","5.69K","3.57%"
"07/22/2025","0.56","0.60","0.60","0.52","7.13K","-5.08%"
"07/21/2025","0.59","0.50","0.60","0.50","7.56K","-1.67%"
"07/18/2025","0.60","0.60","0.75","0.50","18.00K","-20.00%"
"07/17/2025","0.75","0.40","0.75","0.40","738.85K","0.00%"
"07/16/2025","0.75","0.52","0.75","0.50","187.09K","0.00%"
"07/15/2025","0.75","0.50","0.78","0.50","2.18K","-4.46%"
"07/14/2025","0.79","0.50","0.80","0.50","63.68K","15.44%"
"07/11/2025","0.68","0.01","0.80","0.01","20.06K","0.00%"
"07/10/2025","0.68","0.60","0.68","0.55","72.30K","0.00%"
"07/09/2025","0.68","0.60","0.69","0.60","6.45K","-4.23%"
"07/08/2025","0.71","0.60","0.72","0.60","113.23K","-2.07%"
"07/03/2025","0.73","0.61","0.73","0.61","10.51K","0.00%"
"07/01/2025","0.73","0.65","0.75","0.65","8.00K","-3.33%"
"06/30/2025","0.75","0.60","0.75","0.60","2.94K","-1.32%"
"06/27/2025","0.76","0.60","0.77","0.60","4.39K","-1.94%"
"06/26/2025","0.77","0.77","0.77","0.60","11.75K","0.00%"
"06/25/2025","0.77","0.62","0.77","0.62","12.67K","0.00%"
"06/24/2025","0.77","0.60","0.77","0.60","11.90K","0.00%"
"06/23/2025","0.78","0.79","0.79","0.71","17.69K","-1.27%"
"06/20/2025","0.79","0.60","0.80","0.60","38.15K","-1.25%"
"06/18/2025","0.80","0.75","0.80","0.73","21.07K","0.00%"
"06/17/2025","0.80","0.60","0.84","0.60","8.46K","-5.88%"
"06/16/2025","0.85","0.62","0.85","0.60","44.25K","0.00%"
"06/13/2025","0.85","0.65","0.85","0.65","17.44K","0.00%"
"06/12/2025","0.85","0.65","0.85","0.60","38.34K","0.00%"
"06/11/2025","0.85","0.65","0.85","0.65","1.77K","0.00%"
"06/10/2025","0.85","0.60","0.90","0.60","35.30K","0.00%"
"06/09/2025","0.85","0.54","0.85","0.54","17.68K","0.00%"
"06/06/2025","0.85","0.80","0.85","0.75","10.97K","0.00%"
"06/05/2025","0.85","0.50","0.85","0.50","31.53K","1.19%"
"06/04/2025","0.84","0.50","0.85","0.50","158.63K","12.00%"
"06/03/2025","0.75","0.69","0.75","0.69","6.94K","4.90%"
"06/02/2025","0.71","0.70","0.77","0.65","78.57K","2.14%"
"05/30/2025","0.70","0.62","0.75","0.50","246.13K","1.45%"
"05/29/2025","0.69","0.58","0.75","0.58","401.18K","18.97%"
"05/28/2025","0.58","0.50","0.58","0.50","31.57K","5.45%"
"05/27/2025","0.55","0.37","0.58","0.37","246.21K","-5.17%"
"05/23/2025","0.58","0.32","0.67","0.32","87.78K","13.73%"
"05/22/2025","0.51","0.51","0.54","0.51","32.65K","-5.56%"
"05/21/2025","0.54","0.50","0.54","0.50","18.69K","0.00%"
"05/20/2025","0.54","0.53","0.58","0.50","480.51K","1.89%"
"05/19/2025","0.53","0.58","0.58","0.53","149.41K","-8.62%"
"05/16/2025","0.58","0.58","0.58","0.52","9.19K","13.73%"
"05/15/2025","0.51","0.59","0.59","0.51","44.93K","-15.00%"
"05/14/2025","0.60","0.55","0.62","0.55","90.58K","-6.25%"
"05/13/2025","0.64","0.61","0.64","0.55","43.29K","-5.88%"
"05/12/2025","0.68","0.60","0.68","0.60","2.15K","4.62%"
"05/09/2025","0.65","0.61","0.65","0.61","2.14K","-4.41%"
"05/08/2025","0.68","0.60","0.68","0.60","12.71K","-2.86%"
"05/07/2025","0.70","0.62","0.70","0.60","90.52K","0.00%"
"05/06/2025","0.70","0.70","0.70","0.62","4.01K","-2.78%"
"05/05/2025","0.72","0.74","0.74","0.62","3.14K","4.35%"
"05/02/2025","0.69","0.70","0.73","0.65","53.60K","-4.17%"
"05/01/2025","0.72","0.65","0.75","0.65","14.98K","-4.00%"
"04/30/2025","0.75","0.75","0.75","0.75","5.16K","0.00%"
"04/29/2025","0.75","0.75","0.75","0.66","10.26K","0.00%"
"04/28/2025","0.75","0.75","0.75","0.75","7.51K","0.00%"
"04/25/2025","0.75","0.77","0.77","0.63","144.39K","-2.60%"
"04/24/2025","0.77","0.68","0.77","0.68","46.73K","0.00%"
"04/23/2025","0.77","0.66","0.80","0.66","51.14K","0.00%"
"04/22/2025","0.77","0.77","0.77","0.67","45.42K","0.00%"
"04/21/2025","0.77","0.73","0.80","0.65","63.54K","6.90%"
"04/17/2025","0.73","0.65","0.80","0.65","4.26K","-9.37%"
"04/16/2025","0.80","0.75","0.80","0.65","6.54K","0.00%"
"04/15/2025","0.80","0.73","0.80","0.66","52.89K","6.67%"
"04/14/2025","0.75","0.65","0.80","0.65","17.06K","-6.25%"
"04/11/2025","0.80","0.65","0.80","0.65","12.26K","0.00%"
"04/10/2025","0.80","0.65","0.80","0.65","11.16K","0.00%"
"04/09/2025","0.80","0.80","0.80","0.80","7.06K","0.00%"
"04/08/2025","0.80","0.75","0.80","0.68","81.95K","0.00%"
"04/07/2025","0.80","0.80","0.80","0.45","303.81K","0.00%"
"04/04/2025","0.80","0.80","0.95","0.80","98.18K","-15.79%"
"04/03/2025","0.95","0.90","0.95","0.90","3.72K","-2.06%"
"04/02/2025","0.97","0.82","0.97","0.82","0.71K","0.00%"
"04/01/2025","0.97","0.95","0.97","0.94","4.11K","-1.02%"
"03/31/2025","0.98","0.80","1.00","0.80","7.36K","3.16%"
"03/28/2025","0.95","0.80","1.00","0.80","15.10K","-3.06%"
"03/27/2025","0.98","0.95","1.00","0.80","21.73K","3.16%"
"03/26/2025","0.95","0.82","1.00","0.82","15.75K","-5.00%"
"03/25/2025","1.00","1.00","1.00","0.85","12.33K","0.00%"
"03/24/2025","1.00","0.99","1.00","0.86","2.46K","0.00%"
"03/21/2025","1.00","0.87","1.02","0.87","6.88K","5.26%"
"03/20/2025","0.95","0.80","1.00","0.80","8.45K","-1.04%"
"03/19/2025","0.96","0.86","0.99","0.86","50.67K","12.28%"
"03/18/2025","0.86","0.72","0.93","0.72","14.84K","-8.06%"
"03/17/2025","0.93","0.94","0.94","0.93","11.63K","-1.06%"
"03/14/2025","0.94","0.80","0.95","0.80","24.85K","10.59%"
"03/13/2025","0.85","0.85","1.00","0.85","33.22K","-15.00%"
"03/12/2025","1.00","0.86","1.00","0.86","863.21K","0.00%"
"03/11/2025","1.00","0.86","1.00","0.86","1.40K","0.00%"
"03/10/2025","1.00","0.85","1.00","0.85","0.62K","0.00%"
"03/07/2025","1.00","0.72","1.05","0.72","29.23K","-6.54%"
"03/06/2025","1.07","0.70","1.10","0.70","146.72K","-2.73%"
"03/05/2025","1.10","1.01","1.10","0.72","56.43K","-3.51%"
"03/04/2025","1.14","1.00","1.19","1.00","9.46K","-0.87%"
"03/03/2025","1.15","1.15","1.15","1.15","3.88K","0.00%"
"02/28/2025","1.15","1.06","1.15","1.06","8.13K","0.00%"
"02/27/2025","1.15","1.15","1.20","1.10","22.32K","0.00%"
"02/26/2025","1.15","1.15","1.15","1.10","8.93K","0.00%"
"02/25/2025","1.15","0.72","1.15","0.72","13.93K","0.00%"
"02/24/2025","1.15","0.52","1.15","0.52","2.81K","0.00%"
"02/21/2025","1.15","1.01","1.15","1.01","23.53K","0.00%"
"02/20/2025","1.15","1.00","1.15","1.00","40.35K","0.00%"
"02/19/2025","1.15","0.35","1.20","0.35","42.85K","-3.36%"
"02/18/2025","1.19","0.90","1.19","0.02","26.38K","3.48%"
"02/14/2025","1.15","0.72","1.15","0.72","7.01K","9.52%"
"02/13/2025","1.05","1.05","1.20","1.05","51.05K","0.96%"
"02/12/2025","1.04","1.05","1.20","1.02","7.36K","-13.33%"
"02/11/2025","1.20","1.20","1.20","1.12","26.59K","3.45%"
"02/10/2025","1.16","1.20","1.25","0.96","332.43K","-5.69%"
"02/07/2025","1.23","0.88","1.24","0.88","6.97K","2.50%"
"02/06/2025","1.20","1.11","1.20","1.11","25.43K","0.00%"
"02/05/2025","1.20","1.11","1.25","1.11","117.25K","-4.00%"
"02/04/2025","1.25","1.11","1.25","1.11","102.81K","-3.85%"
"02/03/2025","1.30","0.51","1.30","0.51","121.51K","5.69%"
"01/31/2025","1.23","0.32","1.35","0.32","48.19K","0.00%"
"01/30/2025","1.23","1.35","1.35","1.20","42.86K","-8.89%"
"01/29/2025","1.35","1.35","1.35","1.35","0.67K","8.00%"
"01/28/2025","1.25","1.20","1.30","1.20","552.19K","1.63%"
"01/27/2025","1.23","1.20","1.23","1.20","4.38K","-1.60%"
"01/24/2025","1.25","1.25","1.35","1.25","7.04K","-3.85%"
"01/23/2025","1.30","1.25","1.35","1.20","5.75K","0.00%"
"01/22/2025","1.30","1.20","1.32","1.20","535.11K","8.33%"
"01/21/2025","1.20","1.20","1.20","1.20","3.03K","-4.00%"
"01/17/2025","1.25","1.30","1.30","1.21","13.92K","-3.85%"
"01/16/2025","1.30","1.23","1.30","1.20","170.16K","6.56%"
"01/15/2025","1.22","1.20","1.22","1.20","12.18K","1.67%"
"01/14/2025","1.20","1.22","1.22","1.20","18.09K","0.00%"
"01/13/2025","1.20","1.20","1.20","1.20","6.22K","-2.44%"
"01/10/2025","1.23","1.25","1.25","1.20","52.96K","0.82%"
"01/08/2025","1.22","1.23","1.23","1.21","18.72K","-0.81%"
"01/07/2025","1.23","1.22","1.23","1.22","27.36K","0.82%"
"01/06/2025","1.22","1.23","1.25","1.21","23.07K","-0.81%"
"01/03/2025","1.23","1.20","1.24","1.20","29.01K","1.65%"
"01/02/2025","1.21","1.21","1.40","1.21","2.74K","-11.68%"
"12/31/2024","1.37","1.20","1.37","1.19","277.85K","5.38%"
"12/30/2024","1.30","1.20","1.30","1.20","96.47K","6.56%"
"12/27/2024","1.22","1.20","1.23","1.20","18.59K","-9.62%"
"12/26/2024","1.35","1.22","1.35","1.20","129.69K","9.75%"
"12/24/2024","1.23","1.21","1.23","1.21","103.89K","-1.20%"
"12/23/2024","1.25","1.21","1.25","1.21","62.06K","0.00%"
"12/20/2024","1.25","1.20","1.25","1.20","57.92K","0.00%"
"12/19/2024","1.25","1.28","1.35","1.21","97.49K","-7.41%"
"12/18/2024","1.35","1.20","1.37","1.20","91.63K","3.85%"
"12/17/2024","1.30","1.23","1.30","1.21","48.65K","4.00%"
"12/16/2024","1.25","1.23","1.45","1.22","560.72K","-7.41%"
"12/13/2024","1.35","1.59","1.60","1.26","102.74K","-12.90%"
"12/12/2024","1.55","1.50","1.59","1.05","75.21K","-2.52%"
"12/11/2024","1.59","1.50","1.67","1.50","21.32K","0.95%"
"12/10/2024","1.58","1.65","1.68","1.50","23.80K","5.00%"
"12/09/2024","1.50","1.50","1.70","0.02","17.24K","-6.25%"
"12/06/2024","1.60","1.50","1.69","1.50","96.43K","-5.88%"
"12/05/2024","1.70","1.50","1.70","1.50","49.64K","0.00%"
"12/04/2024","1.70","1.40","1.75","1.40","158.63K","3.03%"
"12/03/2024","1.65","1.50","1.65","1.35","134.22K","10.00%"
"12/02/2024","1.50","1.24","1.50","1.24","198.76K","21.95%"
